names,style,url
Super Bock,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/439/1295/
Kalik,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/944/3050/
Victoria Bitter (VB),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/353/1541/
Big Flats 1901,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/64297/
Busch Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/3474/
Point Special,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/786/2811/
Coors Extra Gold,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/1466/
Olympia Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/3906/
Rainier Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/47051/1720/
Straub American Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/880/2832/
Schaefer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/442/1318/
Estrella Galicia,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2100/5481/
Famosa (Gallo),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/888/5294/
Brahma,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2444/23381/
Toña Cerveza,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/9048/15936/
Yanjing Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/713/2124/
El Sully,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/735/187539/
Blatz Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/3010/
Labatt Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/1367/
Banks Caribbean Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/581/7585/
Saigon Export,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/8646/21709/
Champagne Velvet,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1170/93587/
Carling Black Label,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/8617/
Cusqueña Premium Peruvian Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/58/7018/
#Merica,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/13014/181536/
Cristal,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1425/3741/
Genesee Ice Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/302/3293/
Chang Beer (Domestic),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/493/7609/
Tooheys New,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/839/4002/
Alfa,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1292/7515/
Stag,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/13850/
Dos Equis Dark Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/42791/
Kokanee Glacier Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/5468/41885/
Molson Dry,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/7305/
Black Label Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1325/
Schmidt,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/3455/
Utica Club,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/99/6239/
Cass Fresh,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/874/8750/
Castle Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/466/2476/
Keystone Premium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/1859/
Schell's Deer Brand,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/417/4886/
Cerveza Aguila,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2924/6954/
Keystone Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/63584/
Primo,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/43981/
KEO Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1600/4455/
Michelob Golden Draft,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/2682/
Bir Bintang Pilsner,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/502/1432/
Skol,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2437/6393/
Lawnmower Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1075/20817/
Bard's Gold,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/11034/47565/
Taiwan Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2577/6324/
OB Lager Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/874/2762/
Boxer Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/435/62061/
Lucky Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/16247/
Cerveza Cristal,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1685/8628/
Numero Uno Summer Cerveza,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/68/170168/
Old German,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/410/6070/
