,names,style,url,urlHack
0,Super Bock,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/439/1295/,https://www.beeradvocate.com/beer/profile/439/1295/ 
1,Kalik,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/944/3050/,https://www.beeradvocate.com/beer/profile/944/3050/ 
2,Victoria Bitter (VB),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/353/1541/,https://www.beeradvocate.com/beer/profile/353/1541/ 
3,Big Flats 1901,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/64297/,https://www.beeradvocate.com/beer/profile/21092/64297/ 
4,Busch Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/3474/,https://www.beeradvocate.com/beer/profile/29/3474/ 
5,Point Special,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/786/2811/,https://www.beeradvocate.com/beer/profile/786/2811/ 
6,Coors Extra Gold,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/1466/,https://www.beeradvocate.com/beer/profile/306/1466/ 
7,Olympia Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/3906/,https://www.beeradvocate.com/beer/profile/447/3906/ 
8,Rainier Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/47051/1720/,https://www.beeradvocate.com/beer/profile/47051/1720/ 
9,Straub American Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/880/2832/,https://www.beeradvocate.com/beer/profile/880/2832/ 
10,Schaefer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/442/1318/,https://www.beeradvocate.com/beer/profile/442/1318/ 
11,Estrella Galicia,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2100/5481/,https://www.beeradvocate.com/beer/profile/2100/5481/ 
12,Famosa (Gallo),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/888/5294/,https://www.beeradvocate.com/beer/profile/888/5294/ 
13,Brahma,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2444/23381/,https://www.beeradvocate.com/beer/profile/2444/23381/ 
14,Toña Cerveza,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/9048/15936/,https://www.beeradvocate.com/beer/profile/9048/15936/ 
15,Yanjing Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/713/2124/,https://www.beeradvocate.com/beer/profile/713/2124/ 
16,El Sully,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/735/187539/,https://www.beeradvocate.com/beer/profile/735/187539/ 
17,Blatz Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/3010/,https://www.beeradvocate.com/beer/profile/447/3010/ 
18,Labatt Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/1367/,https://www.beeradvocate.com/beer/profile/478/1367/ 
19,Banks Caribbean Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/581/7585/,https://www.beeradvocate.com/beer/profile/581/7585/ 
20,Saigon Export,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/8646/21709/,https://www.beeradvocate.com/beer/profile/8646/21709/ 
21,Champagne Velvet,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1170/93587/,https://www.beeradvocate.com/beer/profile/1170/93587/ 
22,Carling Black Label,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/8617/,https://www.beeradvocate.com/beer/profile/433/8617/ 
23,Cusqueña Premium Peruvian Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/58/7018/,https://www.beeradvocate.com/beer/profile/58/7018/ 
24,#Merica,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/13014/181536/,https://www.beeradvocate.com/beer/profile/13014/181536/ 
25,Cristal,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1425/3741/,https://www.beeradvocate.com/beer/profile/1425/3741/ 
26,Genesee Ice Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/302/3293/,https://www.beeradvocate.com/beer/profile/302/3293/ 
27,Chang Beer (Domestic),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/493/7609/,https://www.beeradvocate.com/beer/profile/493/7609/ 
28,Tooheys New,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/839/4002/,https://www.beeradvocate.com/beer/profile/839/4002/ 
29,Alfa,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1292/7515/,https://www.beeradvocate.com/beer/profile/1292/7515/ 
30,Stag,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/13850/,https://www.beeradvocate.com/beer/profile/447/13850/ 
31,Dos Equis Dark Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/42791/,https://www.beeradvocate.com/beer/profile/57/42791/ 
32,Kokanee Glacier Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/5468/41885/,https://www.beeradvocate.com/beer/profile/5468/41885/ 
33,Molson Dry,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/7305/,https://www.beeradvocate.com/beer/profile/433/7305/ 
34,Black Label Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1325/,https://www.beeradvocate.com/beer/profile/447/1325/ 
35,Schmidt,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/3455/,https://www.beeradvocate.com/beer/profile/447/3455/ 
36,Utica Club,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/99/6239/,https://www.beeradvocate.com/beer/profile/99/6239/ 
37,Cass Fresh,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/874/8750/,https://www.beeradvocate.com/beer/profile/874/8750/ 
38,Castle Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/466/2476/,https://www.beeradvocate.com/beer/profile/466/2476/ 
39,Keystone Premium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/1859/,https://www.beeradvocate.com/beer/profile/306/1859/ 
40,Schell's Deer Brand,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/417/4886/,https://www.beeradvocate.com/beer/profile/417/4886/ 
41,Cerveza Aguila,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2924/6954/,https://www.beeradvocate.com/beer/profile/2924/6954/ 
42,Keystone Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/63584/,https://www.beeradvocate.com/beer/profile/433/63584/ 
43,Primo,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/43981/,https://www.beeradvocate.com/beer/profile/447/43981/ 
44,KEO Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1600/4455/,https://www.beeradvocate.com/beer/profile/1600/4455/ 
45,Michelob Golden Draft,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/2682/,https://www.beeradvocate.com/beer/profile/29/2682/ 
46,Bir Bintang Pilsner,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/502/1432/,https://www.beeradvocate.com/beer/profile/502/1432/ 
47,Skol,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2437/6393/,https://www.beeradvocate.com/beer/profile/2437/6393/ 
48,Lawnmower Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1075/20817/,https://www.beeradvocate.com/beer/profile/1075/20817/ 
49,Bard's Gold,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/11034/47565/,https://www.beeradvocate.com/beer/profile/11034/47565/ 
