ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Ranking,RatingCount,ReviewCount,Score,ScoreClass,pDev
5.00%,Year-round,Anheuser-Busch,,https://cdn.beeradvocate.com/im/beers/65.jpg,"Missouri, United States","#45,314","6,308","1,713",2.36,Poor,33.47%
4.74%,Year-round,Pabst Brewing Company,,https://cdn.beeradvocate.com/im/beers/1331.jpg,"California, United States","#45,051","5,683","1,753",2.93,Poor,25.26%
4.60%,Year-round,Grupo Modelo S.A. de C.V.,,https://cdn.beeradvocate.com/im/beers/232.jpg,Mexico,"#45,316","5,071","1,261",2.34,Poor,31.62%
4.60%,Year-round,Miller Brewing Co.,,https://cdn.beeradvocate.com/im/beers/580.jpg,"Wisconsin, United States","#45,224","3,795","1,158",2.69,Poor,28.62%
4.70%,Year-round,Desnoes & Geddes Limited,,https://cdn.beeradvocate.com/im/beers/689.jpg,Jamaica,"#45,008","3,254",985,2.97,Poor,20.88%
5.00%,Year-round,Coors Brewing Company (Molson-Coors),,https://cdn.beeradvocate.com/im/beers/1276.jpg,"Colorado, United States","#45,266","2,967",741,2.59,Poor,28.57%
4.60%,Year-round,Latrobe Brewing Co.,,https://cdn.beeradvocate.com/im/beers/567.jpg,"Missouri, United States","#45,262","2,924",853,2.59,Poor,27.03%
4.30%,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",,https://cdn.beeradvocate.com/im/beers/1907.jpg,Mexico,"#45,195","2,765",620,2.74,Poor,22.99%
4.66%,Year-round,Miller Brewing Co.,,https://cdn.beeradvocate.com/im/beers/2280.jpg,"Wisconsin, United States","#45,321","2,494",662,2.27,Poor,30.84%
4.40%,Year-round,Grupo Modelo S.A. de C.V.,,https://cdn.beeradvocate.com/im/beers/1321.jpg,Mexico,"#45,141","2,315",601,2.82,Poor,22.34%
5.00%,Year-round,Labatt Brewing Company Ltd.,,https://cdn.beeradvocate.com/im/beers/1371.jpg,"Ontario, Canada","#45,240","2,098",662,2.65,Poor,24.15%
5.00%,Year-round,Foster's Group Limited,,https://cdn.beeradvocate.com/im/beers/918.jpg,Australia,"#45,285","2,069",653,2.53,Poor,25.3%
4.50%,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",,https://cdn.beeradvocate.com/im/beers/848.jpg,Mexico,"#45,284","2,064",586,2.53,Poor,26.09%
4.50%,Year-round,Grupo Modelo S.A. de C.V.,,https://cdn.beeradvocate.com/im/beers/2755.jpg,Mexico,"#45,209","1,993",546,2.71,Poor,23.99%
