,names,style,url
15000,Raspberry Wheat Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/3818/35215/
15001,Road Jam,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/30437/118171/
15002,Stealin' Time Summer Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/96/149765/
15003,3 Citrus Peel Out,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/3818/212322/
15004,Pulp,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/43215/211322/
15005,Schlafly Yakima Wheat Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/583/79559/
15006,Canebrake,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/24822/66594/
15007,Jungle Boogie,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/35363/142397/
15008,Water Gap Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/1336/3857/
15009,1919,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/4707/41110/
15010,Blood Ov The Kings,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/16773/97051/
15011,Thresher,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/23222/94653/
15012,Shenanigans Summer Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/29223/85199/
15013,Razz Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/1432/34602/
15014,Willy,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/3120/10524/
15015,Wet Hot American Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/25370/97289/
15016,Horny Goat Watermelon Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/17856/82888/
15017,Sea Rose Tart Cherry Wheat Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/199/268350/
15018,Fortunate Islands - Grapefruit Zest,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/31987/114921/
15019,White Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/99/109882/
15020,Hoppy Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/140/229625/
15021,Dirty,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/7216/63763/
15022,Starburst Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/11814/124568/
15023,Sea Dog Sunfish,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/137/117569/
15024,Anchor Summer Wheat,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/28/167302/
15025,Bell's Wedding Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/287/31330/
15026,Wachusett Summer,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/20/38474/
15027,Graffiti Orange,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/27724/79329/
15028,Lemongrass Wheat Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/1784/6103/
15029,Rapunzel,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/35571/65078/
15030,White Chocolate Ale,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/13564/64164/
15031,Air,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/27025/75667/
15032,Small Bird Series: Stumpy Duck,American Pale Wheat Ale,https://www.beeradvocate.com/beer/profile/30654/112405/
