,names,style,url
5000,Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/27811/153228/
5001,Phobos Single Hop Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33058/182425/
5002,Back Draft,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29161/117925/
5003,Briarpatch Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/20998/52648/
5004,1982,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/18069/55739/
5005,TBonz Cooper River Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4399/25276/
5006,Red Rock Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1412/3787/
5007,Better Off Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/22243/63439/
5008,L'Ambrée,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/14102/33491/
5009,100 Mile Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33518/109276/
5010,Mountain Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1345/9183/
5011,Old Morgantown Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/21473/53995/
5012,Channel Marker Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33476/133360/
5013,18 Karat Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33657/114703/
5014,Green Man Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/28259/78359/
5015,Dragonmead Corktown Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2085/6683/
5016,Cold Drip City,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/38665/158752/
5017,Big Ivan's Imperial Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33228/113954/
5018,Trainwreck Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/27179/89897/
5019,Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/5337/11564/
5020,Martian Sunrise,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30629/245037/
5021,2 Gingers Barrel Aged Libertine,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/22167/89658/
5022,Truly Honest Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/17034/42582/
5023,5:02 Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/26634/76381/
5024,Imperial Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29265/91746/
5025,The Huntsman,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/27230/113766/
5026,Hop Donkey,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16270/111209/
5027,Roll Cage Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33802/147061/
5028,Riptide Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/882/4217/
5029,Badger Club Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33205/244857/
5030,Amber Waves,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/735/60560/
5031,Bricklayer,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/35053/124049/
5032,Tasha's Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1285/8600/
5033,Ausable Wulff Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4027/11675/
5034,Mysterious Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/10836/29862/
5035,Summit Sunrise,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/26620/157866/
5036,Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/25926/71595/
5037,Cutt's Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/20658/53678/
5038,Scratch Beer 220- 2015 (Amber Ale),American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/694/209072/
5039,Lion's Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30416/97483/
5040,Railhead Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1104/10449/
5041,Unhappy Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31093/117726/
5042,Galactic Silk Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/32700/101878/
5043,Firefall Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/24748/139769/
5044,Coffee Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34500/148481/
5045,Double Take Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/21092/70148/
5046,Maiden Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/18108/44553/
5047,Olde Peninsula Sunset Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2707/6427/
5048,Big Red Norm,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/35987/137246/
5049,Alpine Glow Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/588/6942/
5050,Copper Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/23052/71463/
5051,M-Punk Mosaic Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/38311/249389/
5052,Insane Mane Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/37413/143671/
5053,Too Sticky To Roll,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/24464/117592/
5054,Ambler,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/38091/157529/
5055,Rowdy Dick Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4980/32097/
5056,Namber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31873/98919/
5057,Market Cross Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1446/4458/
5058,Paddle Wheeler,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/36095/143725/
5059,Rincon Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2042/12407/
5060,Fall Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/9020/63863/
5061,Broken Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34168/151416/
5062,Red Scare,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/22072/69501/
5063,Saint Gleason Imperial Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3/78979/
5064,Riverside Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/24453/64903/
5065,North 45 Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30272/97435/
5066,Red Alert Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4632/16798/
5067,Boss Lady Rustic Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30364/122783/
5068,El Tecnico,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/37451/144041/
5069,Witch City Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/299/4780/
5070,Cane Fire Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29682/90798/
