ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Name,Ranking,RatingCount,ReviewCount,Score,ScoreClass,Style,URL,pDev
5.00,Year-round,Anheuser-Busch,0,https://cdn.beeradvocate.com/im/beers/65.jpg,"Missouri, United States",Budweiser,45329,6308,1713,2.36,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/65/,33.47
4.74,Year-round,Pabst Brewing Company,3.65,https://cdn.beeradvocate.com/im/beers/1331.jpg,"California, United States",Pabst Blue Ribbon (PBR),45069,5683,1753,2.93,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1331/,25.26
4.60,Year-round,Grupo Modelo S.A. de C.V.,1.89,https://cdn.beeradvocate.com/im/beers/232.jpg,Mexico,Corona Extra,45331,5071,1261,2.34,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/75/232/,31.62
4.60,Year-round,Miller Brewing Co.,3.53,https://cdn.beeradvocate.com/im/beers/580.jpg,"Wisconsin, United States",Miller High Life,45242,3797,1158,2.69,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/580/,28.62
4.70,Year-round,Desnoes & Geddes Limited,3.39,https://cdn.beeradvocate.com/im/beers/689.jpg,Jamaica,Red Stripe Jamaican Lager,45023,3254,985,2.97,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/221/689/,20.88
5.00,Year-round,Coors Brewing Company (Molson-Coors),3.05,https://cdn.beeradvocate.com/im/beers/1276.jpg,"Colorado, United States",Coors Banquet,45282,2967,741,2.59,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/1276/,28.57
4.60,Year-round,Latrobe Brewing Co.,2.86,https://cdn.beeradvocate.com/im/beers/567.jpg,"Missouri, United States",Rolling Rock Extra Pale,45281,2924,853,2.59,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/174/567/,27.03
4.30,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",2.65,https://cdn.beeradvocate.com/im/beers/1907.jpg,Mexico,Dos Equis Special Lager,45210,2766,620,2.74,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/1907/,22.99
4.66,Year-round,Miller Brewing Co.,2.19,https://cdn.beeradvocate.com/im/beers/2280.jpg,"Wisconsin, United States",Miller Genuine Draft,45336,2494,662,2.27,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/2280/,30.84
4.40,Year-round,Grupo Modelo S.A. de C.V.,3.4,https://cdn.beeradvocate.com/im/beers/1321.jpg,Mexico,Modelo Especial,45156,2316,601,2.82,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/75/1321/,22.34
