names,style,url
Budweiser,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/65/
Pabst Blue Ribbon (PBR),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1331/
Corona Extra,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/75/232/
Miller High Life,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/580/
Red Stripe Jamaican Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/221/689/
Coors Banquet,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/1276/
Rolling Rock Extra Pale,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/174/567/
Dos Equis Special Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/1907/
Miller Genuine Draft,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/2280/
Modelo Especial,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/75/1321/
Labatt Blue,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/1371/
Foster's Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/575/918/
Tecate,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/848/
Pacifico Cerveza Clara,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/75/2755/
Landshark Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/16098/34804/
Molson Canadian Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/1312/
Tsingtao,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/281/767/
Busch Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/670/
Natural Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/653/
Sol,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/2803/
Moosehead Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/379/1053/
Narragansett Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/213/7406/
Icehouse,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1299/
Bud Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/1642/
Tiger Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/727/2176/
Hamm's,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/320/870/
Old Milwaukee Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1332/
Lone Star Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1719/
Milwaukee's Best,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1286/
Presidente,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/912/2910/
Red Dog,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1207/
Keystone Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/2947/
Old Style,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1727/
Milwaukee's Best Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1484/
Genesee Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/302/865/
Leinenkugel's Original,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/710/3333/
Stroh's,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1330/
Grain Belt Premium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/417/10364/
Imperial,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1491/3940/
National Bohemian Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/7363/
Iron City Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/410/2680/
Carta Blanca,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/1284/
Schlitz Gusto (Classic 1960's Formula),American Adjunct Lager,https://www.beeradvocate.com/beer/profile/106/44315/
Molson Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/1359/
Quilmes,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1252/3637/
Lionshead Pilsner,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/150/5412/
Taj Mahal Premium Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/91/2970/
Carib Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/272/750/
San Miguel Premium Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/355/922/
Dixie,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/404/1185/
Weihenstephaner Original,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/252/712/
