Style,Description,Descriptive Words,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,Examples,Pairing,Store Temp
American Adjunct Lager,"American lager is light in flavor, color, and alcohol content, and is often produced in large quantities. ABV: 3.2-4.0% IBU: 5-15","light flavor, light color",pale,1,0,0,0,1,0,0,0,0,0,0,"Budweiser, Coors, Pabst Blue Ribbon","American cuisine, spicy food",30-40 F
Munich Helles Lager,German helles is maltier than a traditional pilsner and features a bright gold color. ABV: 4.8-5.6% IBU:18-25,"matly, gold color",gold,2,2,2,0,1,0,0,0,0,2,0,"Victory Helles Lager, Stoudt's Gold Lager","German cuisine, pork, brie",40-45 F
German Pilsener,German pilsner is pale gold in color with a medium hop flavor and a slight note of maltiness. ABV: 4.6-5.3% IBU: 25-40,"pale gold, medium hoppy, light malt",pale,2,2,0,0,2,0,0,0,floral,0,2,"Tröegs Sunshine Pils, Bavaria, Sierra Nevada's Nooner Pilsner","German cuisine, poultry, fish, spicy cheese",40-45 F
Czech Pilsener,Czech or bohemian pilsner is a straw colored beer with a noticeably bitter hop flavor. These beers can sometimes have a floral aroma. ABV: 4.1-5.1% IBU: 30-45,"straw colored, bitter, hoppy, floral",gold,2,3,2,0,2,0,0,0,floral,0,2,"Lagunita's PILS, Dogfish Head's Piercing Pils","Spicy food, Asian cuisine, sharp cheddar cheese",40-45 F
American Amber / Red Lager,"Amber lager features prevalent malt flavors with varying levels of hoppiness. This beer is also characterized by a darker color, caramel aroma, and smooth taste. ABV: 4.8-5.4% IBU: 18-30","caramel aroma, matly, smooth taste",amber,2,0,2,0,2,0,0,0,caramel,0,0,"Yuengling Lager, Samuel Adams Boston Lager, Tröegs Nugget Nectar","American cuisine, poultry and beef, cheddar",45-50 F
Oktoberfest,"Named for the celebration in Munich, Oktoberfest is a full-bodied beer with a rich, toasted flavor and a dark copper color. ABV: 5.1-6.0% IBU: 18-25","full-bodied, toasted flavor, dark color",amber,2,1,0,0,3,0,toasted,0,0,0,0,"Samuel Adams Octoberfest, Paulaner Oktoberfest-Märzen, Victory Brewing Company's Festbier","German cuisine, meat and vegetables, spicy cheese",45-50 F
Schwarzbier,"Schwarzbier is a dark beer that is surprisingly lighter in flavor. Schwarzbiers are less malty than would be expected, but still boast a slight sweetness. ABV: 3.8-4.9% IBU: 22-30","dark color, light flavor, light malty flavor, light sweetness",black,1,0,1,0,2,1,0,0,0,0,0,"Shiner Bohemian Black Lager, Guinness Black Lager","German cuisine, spicy food, muenster cheese",40-45 F
Vienna Lager,Vienna lager is reddish in color with a sweet malty flavor. These beers boast a subtle hop flavor and crisp drinkability. ABV: 4.5-5.5% IBU: 22-28,"sweet , malty flavor, medium hops, crisp",amber,2,2,2,0,2,2,0,0,0,0,0,"Dos Equis Amber Lager, Great Lakes Eliot Ness, Blue Point Toasted Lager","German cuisine, Mexican cuisine, pork, spicy cheese",40-45 F
Bock,"The bock is a malty, sweet beer with a toasty flavor and a dark copper color. ABV: 6.3-7.5% IBU: 20-30","dark color, toasted flavor, sweet",amber,3,1,3,0,2,2,toasted,0,0,0,0,"Samuel Adams Winter Lager, Great Lakes Rockefeller Bock","German cuisine, meat and vegetables, chocolate, Camembert cheese",40-45 F
Doppelbock,Doppelbocks are stronger than the traditional style and boast a higher alcohol content and a fuller body. ABV: 6.6-7.9% IBU: 17-27,"full-bodied, strong",dark ,3,0,2,0,3,0,chocolate,0,0,0,0,"Tröegs Troegenator Double Bock, Samuel Adams Double Bock, Paulaner Salvator Doppelbock","Heavy foods like red meat, pork, or ham, and sharp cheeses",40-45 F
