,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
0,11.00,https://www.beeradvocate.com/beer/profile/1432/254269/,Bourbon Barrel Vanilla Black Maple,American Porter,americanporter,Jackie O's Pub & Brewery,3.5,4.49,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
1,11.00,https://www.beeradvocate.com/beer/profile/1432/132105/,Bourbon Barrel Black Maple,American Porter,americanporter,Jackie O's Pub & Brewery,2.7,4.59,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
2,6.20,https://www.beeradvocate.com/beer/profile/34783/153134/,Dark Road Porter,American Porter,americanporter,Grand Junction Brewing Company,1.6,3.87,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
3,12.00,https://www.beeradvocate.com/beer/profile/199/302060/,High West Barrel Aged Victory At Sea,American Porter,americanporter,Ballast Point Brewing Company,1.2,4.34,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
4,5.40,https://www.beeradvocate.com/beer/profile/579/33183/,Pipeline Porter,American Porter,americanporter,Kona Brewing Co.,0.8,3.77,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
5,10.40,https://www.beeradvocate.com/beer/profile/30/275489/,Coconut Porter,American Porter,americanporter,Avery Brewing Company,2.5,4.16,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
6,5.70,https://www.beeradvocate.com/beer/profile/21092/309505/,Iron Line Coal Pusher,American Porter,americanporter,World Brews,8.5,3.69,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
7,10.00,https://www.beeradvocate.com/beer/profile/199/48505/,Victory At Sea Imperial Porter with Coffee & Vanilla,American Porter,americanporter,Ballast Point Brewing Company,0.7,4.42,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
8,8.50,https://www.beeradvocate.com/beer/profile/38623/305360/,Husky,American Porter,americanporter,Dogberry Brewing,0,3.92,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
9,9.40,https://www.beeradvocate.com/beer/profile/16057/132158/,Imperial Coconut Porter,American Porter,americanporter,Maui Brewing Co.,1.4,4.3,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
10,5.00,https://www.beeradvocate.com/beer/profile/15280/33336/,Atwater Vanilla Java Porter,American Porter,americanporter,Atwater Brewery,0.3,3.47,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
