,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,good,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
85,9.5,https://www.beeradvocate.com/beer/profile/208/646/,Westmalle Trappist Tripel,Tripel,tripel,Brouwerij Westmalle,12.3,4.83,good,gold,2,1,3,1,1,2,0,0,0,0,2,tripel,Tripel,tripel
86,9.5,https://www.beeradvocate.com/beer/profile/345/1003/,Golden Monkey,Tripel,tripel,Victory Brewing Company - Downingtown,25.3,4.66,good,gold,2,1,3,1,1,2,0,0,0,0,2,tripel,Tripel,tripel
28,6.4,https://www.beeradvocate.com/beer/profile/63/60330/,Fresh Squeezed IPA,American IPA,americanipa,Deschutes Brewery,8.5,4.62,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
68,7.2,https://www.beeradvocate.com/beer/profile/64/1161/,Indian Brown Ale,American Brown Ale,americanbrownale,Dogfish Head Craft Brewery,12,4.58,good,dark ,2,2,2,0,2,0,0,0,0,0,0,americanbrownale,American Brown Ale,americanbrownale
19,6.8,https://www.beeradvocate.com/beer/profile/42/92397/,Fleur De Houblon,Belgian Pale Ale,belgianpaleale,Brewery Ommegang,11.8,4.46,good,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
84,9.3,https://www.beeradvocate.com/beer/profile/392/6073/,Merry Monks,Tripel,tripel,Weyerbacher Brewing Co.,14.9,4.46,good,gold,2,1,3,1,1,2,0,0,0,0,2,tripel,Tripel,tripel
26,7.5,https://www.beeradvocate.com/beer/profile/2210/38180/,Union Jack IPA,American IPA,americanipa,Firestone Walker Brewing Co.,5.2,4.45,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
48,6.7,https://www.beeradvocate.com/beer/profile/345/1005/,HopDevil India Pale Ale,American IPA,americanipa,Victory Brewing Company - Downingtown,9.4,4.44,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
0,8.3,https://www.beeradvocate.com/beer/profile/345/294076/,Mighty Things,American Double / Imperial IPA,americandoubleimperialipa,Victory Brewing Company - Downingtown,8.8,4.43,good,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
90,5.3,https://www.beeradvocate.com/beer/profile/76/666/,Hacker-Pschorr Dunkel Weisse (Weisse Dark),Dunkelweizen,dunkelweizen,Hacker-Pschorr Bräu GmbH,11,4.43,good,amber,2,0,2,2,2,1,banana,0,0,0,1,dunkelweizen,Dunkelweizen,dunkelweizen
64,7,https://www.beeradvocate.com/beer/profile/28510/228643/,Black Dawn Stout,American Stout,americanstout,Relic Brewing Co.,9.2,4.38,good,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
61,6.4,https://www.beeradvocate.com/beer/profile/63/197/,Obsidian Stout,American Stout,americanstout,Deschutes Brewery,3.6,4.35,good,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
31,7.2,https://www.beeradvocate.com/beer/profile/140/30420/,Sierra Nevada Torpedo Extra IPA,American IPA,americanipa,Sierra Nevada Brewing Co.,4.6,4.34,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
