beer_link,rDev,user_rating,ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Name,Ranking,RatingCount,ReviewCount,Score,good,ScoreClass,Style,URL,pDev,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Sour,spicy,bitter,Aroma_None,Aroma_caramel,Aroma_floral,Aroma_fruit,Custom Flavor_None,Custom Flavor_banana,Custom Flavor_brown sugar,Custom Flavor_burnt,Custom Flavor_caramel,Custom Flavor_chocolate,Custom Flavor_earthy,Custom Flavor_herbal,Custom Flavor_pumpkin,Custom Flavor_roasted,Custom Flavor_smoke,Custom Flavor_toasted,Custom Flavor_wheat,Color_amber,Color_black,Color_dark ,Color_gold,Color_pale
https://www.beeradvocate.com/beer/profile/17980/117177/,0,4.58,8,Rotating,Lawson's Finest Liquids,0,https://cdn.beeradvocate.com/im/beers/117177.jpg,"Vermont, United States",Sip Of Sunshine IPA,42,5132,667,4.58,good,World-Class,American Double / Imperial IPA,https://www.beeradvocate.com/beer/profile/17980/117177/,6.99,3,3,3,0,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/30356/102340/,6.2,4.24,14,Rotating,Prairie Artisan Ales,0,https://cdn.beeradvocate.com/im/beers/102340.jpg,"Oklahoma, United States",Pirate Bomb!,90,2131,243,4.52,good,World-Class,American Double / Imperial Stout,https://www.beeradvocate.com/beer/profile/30356/102340/,7.3,2,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.beeradvocate.com/beer/profile/1199/11757/,0.4,4.49,8.3,Rotating,Founders Brewing Company,4.75,https://cdn.beeradvocate.com/im/beers/11757.jpg,"Michigan, United States",Founders Breakfast Stout,87,16863,3880,4.51,good,World-Class,American Double / Imperial Stout,https://www.beeradvocate.com/beer/profile/1199/11757/,9.09,2,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.beeradvocate.com/beer/profile/30356/94350/,2,4.59,13,Rotating,Prairie Artisan Ales,0,https://cdn.beeradvocate.com/im/beers/94350.jpg,"Oklahoma, United States",Bomb!,99,6135,973,4.5,good,World-Class,American Double / Imperial Stout,https://www.beeradvocate.com/beer/profile/30356/94350/,8.22,2,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.beeradvocate.com/beer/profile/396/75218/,0.2,4.49,12,Rotating,AleSmith Brewing Company,0,https://cdn.beeradvocate.com/im/beers/75218.jpg,"California, United States",AleSmith Speedway Stout - Vietnamese Coffee,115,1836,170,4.5,good,World-Class,American Double / Imperial Stout,https://www.beeradvocate.com/beer/profile/396/75218/,6.67,2,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.beeradvocate.com/beer/profile/29952/172420/,11.8,3.96,15,Rotating,Perrin Brewery,0,https://cdn.beeradvocate.com/im/beers/172420.jpg,"Michigan, United States",No Rules,130,1274,264,4.49,good,Outstanding,American Porter,https://www.beeradvocate.com/beer/profile/29952/172420/,7.8,2,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.beeradvocate.com/beer/profile/63/34420/,2.9,4.6,12.2,Winter,Deschutes Brewery,4.13,https://cdn.beeradvocate.com/im/beers/34420.jpg,"Oregon, United States",The Abyss,134,7245,1996,4.47,good,Outstanding,American Double / Imperial Stout,https://www.beeradvocate.com/beer/profile/63/34420/,9.4,2,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.beeradvocate.com/beer/profile/1432/132105/,2.7,4.59,11,Rotating,Jackie O's Pub & Brewery,4.25,https://cdn.beeradvocate.com/im/beers/132105.jpg,"Ohio, United States",Bourbon Barrel Black Maple,174,1028,122,4.47,good,Outstanding,American Porter,https://www.beeradvocate.com/beer/profile/1432/132105/,7.61,2,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.beeradvocate.com/beer/profile/259/1708/,1.1,4.51,10,Year-round,Brouwerij St. Bernardus NV,4.48,https://cdn.beeradvocate.com/im/beers/1708.jpg,Belgium,St. Bernardus Abt 12,150,9665,2824,4.46,good,Outstanding,Quadrupel (Quad),https://www.beeradvocate.com/beer/profile/259/1708/,9.19,3,0,3,2,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/1141/10325/,2,4.5,9.5,Rotating,Brasserie Dieu du Ciel!,4.97,https://cdn.beeradvocate.com/im/beers/10325.jpg,"Quebec, Canada",Pí€Œ©chí€Œ© Mortel,220,5191,1851,4.41,good,Outstanding,American Double / Imperial Stout,https://www.beeradvocate.com/beer/profile/1141/10325/,8.39,2,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
