beer_link,rDev,user_rating,ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Name,Ranking,RatingCount,ReviewCount,Score,ScoreClass,Style,URL,pDev,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Sour,spicy,bitter,Aroma_None,Aroma_caramel,Aroma_floral,Aroma_fruit,Custom Flavor_None,Custom Flavor_banana,Custom Flavor_brown sugar,Custom Flavor_burnt,Custom Flavor_caramel,Custom Flavor_chocolate,Custom Flavor_earthy,Custom Flavor_herbal,Custom Flavor_pumpkin,Custom Flavor_roasted,Custom Flavor_smoke,Custom Flavor_toasted,Custom Flavor_wheat,Color_amber,Color_black,Color_dark ,Color_gold,Color_pale
https://www.beeradvocate.com/beer/profile/22511/61139/,10.2,3.78,5.0,Rotating,Hill Farmstead Brewery,4.0,https://cdn.beeradvocate.com/im/beers/61139.jpg,"Vermont, United States",Florence Wheat Saison,1110.0,1005,148,4.21,Exceptional,Saison / Farmhouse Ale,https://www.beeradvocate.com/beer/profile/22511/61139/,7.6,2,0,0,3,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/240/703/,1.1,3.71,4.0,Year-round,Murphy Brewery Ireland Limited,4.19,https://cdn.beeradvocate.com/im/beers/703.jpg,Ireland,Murphy's Irish Stout,22514.0,2498,1018,3.75,Very Good,Irish Dry Stout,https://www.beeradvocate.com/beer/profile/240/703/,14.13,2,1,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.beeradvocate.com/beer/profile/199/302060/,1.2,4.34,12.0,Rotating,Ballast Point Brewing Company,0.0,https://cdn.beeradvocate.com/im/beers/302060.jpg,"California, United States",High West Barrel Aged Victory At Sea,884.0,311,105,4.29,Outstanding,American Porter,https://www.beeradvocate.com/beer/profile/199/302060/,5.59,2,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.beeradvocate.com/beer/profile/2875/8373/,4.7,3.24,5.4,Year-round,Carolina Brewery,0.0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"North Carolina, United States",Copperline Amber Ale,41258.0,61,15,3.4,Okay,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2875/8373/,15.0,2,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/2875/9711/,4.8,3.37,5.9,Year-round,Carolina Brewery,0.0,https://cdn.beeradvocate.com/im/beers/9711.jpg,"North Carolina, United States",Flagship IPA,40035.0,214,58,3.54,Good,English India Pale Ale (IPA),https://www.beeradvocate.com/beer/profile/2875/9711/,13.28,2,2,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/285/776/,15.9,3.38,14.0,Winter,Brauerei Schloss Eggenberg,4.5,https://cdn.beeradvocate.com/im/beers/776.jpg,Austria,Samichlaus Classic Bier,3374.0,2092,1114,4.02,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/285/776/,16.42,3,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
https://www.beeradvocate.com/beer/profile/16866/304555/,6.1,4.17,10.5,Limited(brewedonce),The Bruery,0.0,https://cdn.beeradvocate.com/im/beers/304555.jpg,"California, United States",10 Lords-A-Leaping,10380.0,66,14,3.93,Very Good,Belgian Strong Dark Ale,https://www.beeradvocate.com/beer/profile/16866/304555/,9.41,3,1,2,2,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.beeradvocate.com/beer/profile/7944/20789/,3.7,3.35,7.5,Winter,Ridgeway Brewing,0.0,https://cdn.beeradvocate.com/im/beers/20789.jpg,"England, United Kingdom",Very Bad Elf Special Reserve Ale,41730.0,320,178,3.48,Okay,English Pale Ale,https://www.beeradvocate.com/beer/profile/7944/20789/,12.93,2,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/12959/217450/,3.4,3.94,5.0,Rotating,Captain Lawrence Brewing Co.,0.0,https://cdn.beeradvocate.com/im/beers/217450.jpg,"New York, United States",6th Borough Pilsner,19768.0,48,18,3.81,Very Good,Czech Pilsener,https://www.beeradvocate.com/beer/profile/12959/217450/,8.14,2,3,2,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/42/225848/,0.5,4.12,11.4,Rotating,Brewery Ommegang,3.77,https://cdn.beeradvocate.com/im/beers/225848.jpg,"New York, United States",Barrel-Aged Three Philosophers,6005.0,38,12,4.14,Exceptional,Quadrupel (Quad),https://www.beeradvocate.com/beer/profile/42/225848/,8.21,3,0,3,2,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
