beer_link,rDev,user_rating,ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Name,Ranking,RatingCount,ReviewCount,Score,ScoreClass,Style,URL,pDev,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Sour,spicy,bitter,Aroma_None,Aroma_caramel,Aroma_floral,Aroma_fruit,Custom Flavor_None,Custom Flavor_banana,Custom Flavor_brown sugar,Custom Flavor_burnt,Custom Flavor_caramel,Custom Flavor_chocolate,Custom Flavor_earthy,Custom Flavor_herbal,Custom Flavor_pumpkin,Custom Flavor_roasted,Custom Flavor_smoke,Custom Flavor_toasted,Custom Flavor_wheat,Color_amber,Color_black,Color_dark ,Color_gold,Color_pale
https://www.beeradvocate.com/beer/profile/18149/280082/,7.1,4.25,12.5,Limited(brewedonce),The Lost Abbey,0.0,https://cdn.beeradvocate.com/im/beers/280082.jpg,"California, United States",Ex Cathedra,10859.0,40,17,3.97,Very Good,Quadrupel (Quad),https://www.beeradvocate.com/beer/profile/18149/280082/,13.85,3,0,3,2,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/29415/279205/,4.7,4.25,9.9,Rotating,Crux Fermentation Project,0.0,https://cdn.beeradvocate.com/im/beers/279205.jpg,"Oregon, United States",[BANISHED] In The Pocket,14004.0,16,6,4.05,Exceptional,Saison / Farmhouse Ale,https://www.beeradvocate.com/beer/profile/29415/279205/,12.1,2,0,0,3,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/24018/313746/,2.5,4.31,7.4,Limited(brewedonce),Jester King Brewery,0.0,https://cdn.beeradvocate.com/im/beers/313746.jpg,"Texas, United States",Birra di Sangiovese,8015.0,13,3,4.42,Outstanding,American Wild Ale,https://www.beeradvocate.com/beer/profile/24018/313746/,3.17,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/33018/103549/,0.7,4.11,7.0,Rotating,The Rare Barrel,0.0,https://cdn.beeradvocate.com/im/beers/103549.jpg,"California, United States",Shadows Of Their Eyes,2191.0,281,24,4.14,Exceptional,American Wild Ale,https://www.beeradvocate.com/beer/profile/33018/103549/,7.73,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/32319/302818/,3.0,4.25,7.0,Rotating,Side Project Brewing,0.0,https://cdn.beeradvocate.com/im/beers/302818.jpg,"Missouri, United States",Amis Pour Toujours,3130.0,35,5,4.38,Outstanding,American Wild Ale,https://www.beeradvocate.com/beer/profile/32319/302818/,3.2,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/32319/273103/,1.6,4.25,5.0,Limited(brewedonce),Side Project Brewing,0.0,https://cdn.beeradvocate.com/im/beers/273103.jpg,"Missouri, United States",Blackberry Biére Du Pays,3283.0,40,5,4.32,Outstanding,Saison / Farmhouse Ale,https://www.beeradvocate.com/beer/profile/32319/273103/,4.86,2,0,0,3,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/32319/128650/,0.9,4.45,6.0,Rotating,Side Project Brewing,0.0,https://cdn.beeradvocate.com/im/beers/128650.jpg,"Missouri, United States",Fencerow,584.0,175,25,4.41,Outstanding,American Wild Ale,https://www.beeradvocate.com/beer/profile/32319/128650/,8.84,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/26439/295535/,6.3,4.71,,Limited(brewedonce),Oxbow Brewing Company,0.0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Maine, United States",Native/Wild,9551.0,10,4,4.43,Outstanding,American Wild Ale,https://www.beeradvocate.com/beer/profile/26439/295535/,5.64,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/35633/289367/,1.1,4.57,6.0,Rotating,Casey Brewing & Blending,0.0,https://cdn.beeradvocate.com/im/beers/289367.jpg,"Colorado, United States",The Cut: Raspberry,7541.0,11,1,4.52,World-Class,American Wild Ale,https://www.beeradvocate.com/beer/profile/35633/289367/,4.87,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/13014/259171/,0.2,4.35,,Rotating,Surly Brewing Company,0.0,https://cdn.beeradvocate.com/im/beers/259171.jpg,"Minnesota, United States",Pentagram Aged In Rye Whiskey Barrels,2662.0,47,9,4.34,Outstanding,American Wild Ale,https://www.beeradvocate.com/beer/profile/13014/259171/,6.91,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/42273/266861/,0.2,4.41,10.3,Limited(brewedonce),Forager Brewing Company,0.0,https://cdn.beeradvocate.com/im/beers/266861.jpg,"Minnesota, United States",Pudding Goggles,4557.0,23,8,4.4,Outstanding,American Porter,https://www.beeradvocate.com/beer/profile/42273/266861/,7.05,2,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.beeradvocate.com/beer/profile/1170/247589/,2.2,4.24,6.0,Rotating,Upland Brewing Company,4.2,https://cdn.beeradvocate.com/im/beers/247589.jpg,"Indiana, United States",Revive,3419.0,92,15,4.14,Exceptional,American Wild Ale,https://www.beeradvocate.com/beer/profile/1170/247589/,8.21,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/24659/112724/,0.7,4,6.5,Year-round,La Cumbre Brewing Co.,4.16,https://cdn.beeradvocate.com/im/beers/112724.jpg,"New Mexico, United States",Red Ryeot,4661.0,147,33,4.03,Exceptional,Rye Beer,https://www.beeradvocate.com/beer/profile/24659/112724/,7.94,2,1,2,0,2,2,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/187/307080/,0,4.01,4.1,Year-round,Brouwerij Lindemans,0.0,https://cdn.beeradvocate.com/im/beers/307080.jpg,Belgium,Lindemans Strawberry,18562.0,10,6,4.01,Exceptional,Lambic - Fruit,https://www.beeradvocate.com/beer/profile/187/307080/,12.47,2,1,1,3,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://www.beeradvocate.com/beer/profile/33607/220109/,3.4,4.3,5.5,Rotating,Plan Bee Farm Brewery,0.0,https://cdn.beeradvocate.com/im/beers/220109.jpg,"New York, United States",Barn Beer,4102.0,60,12,4.16,Exceptional,American Wild Ale,https://www.beeradvocate.com/beer/profile/33607/220109/,5.53,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.beeradvocate.com/beer/profile/32893/302935/,2.2,4.14,4.8,Rotating,Grimm Artisanal Ales,0.0,https://cdn.beeradvocate.com/im/beers/302935.jpg,"New York, United States",Sunshine Pop!,12296.0,20,7,4.05,Exceptional,Berliner Weissbier,https://www.beeradvocate.com/beer/profile/32893/302935/,6.67,2,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
